Sunnyside School Rain Gage - 3421 SE. Salmon St.



PROVISIONAL, UNCORRECTED RAW DATA FROM THE CITY OF PORTLAND HYDRA NETWORK.

Data are the number of tips of the rain gage bucket.

Each tip is 0.01 inches of rainfall.

 [-, missing data]

Dates and times are PACIFIC STANDARD TIME.



            Daily  Hourly data -->

   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
19-JAN-2016    97    0   1   0   0   0   0   5   7   5   2   4   2   5   5   8   6   4   3  11  10  15   2   0   2

18-JAN-2016    27    0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1   2   3  12   7   1   0

17-JAN-2016    92    0   0   0   0   2   8  11   8  10  10  11  12   3   2   2   1   0   0   0   0   0   1   9   2

16-JAN-2016    50    3   3   7   7   5   2   0   2   2   0   0   0  18   0   0   1   0   0   0   0   0   0   0   0

15-JAN-2016    15    1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   5   6

14-JAN-2016    37    0   5   3   0   1   3   0   1   0   0   0   0   0   0   0   4   7   4   1   4   1   1   1   1

13-JAN-2016    78    4   1   1   3   5   5  21   3  11  13   4   3   2   0   0   0   0   0   0   0   0   0   1   1

12-JAN-2016   105    0   0   0   0   0   1   0   5   5   6   7   8   5   4  10   7  11   8   7   8   5   1   1   6

11-JAN-2016    28    0   0   0   0   0   0   1   0   2   0   3   2   0   3   1   2   0   0   0   4  10   0   0   0

10-JAN-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

09-JAN-2016     2    0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

08-JAN-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

07-JAN-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

06-JAN-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

05-JAN-2016    20    0   0   0   0   3   3   3   2   1   0   1   1   1   0   0   0   0   0   0   0   5   0   0   0

04-JAN-2016    47    0   0   0   0   0   0   0   0   0   0   0   1  12  22   7   3   2   0   0   0   0   0   0   0

03-JAN-2016     1    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0

02-JAN-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

01-JAN-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

31-DEC-2015     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
